ocel:eid,ocel:timestamp,ocel:activity,weight,price,ocel:type:items,ocel:type:products,ocel:type:customers,ocel:type:orders,ocel:type:packages
14.0,2019-05-20 17:22:31,place order,1.432,923.98,"['880018', '880019', '880017']","['iPhone X', 'Echo Show 8', 'Fire Stick 4K']",['Christina Rensinghof'],['990006'],
15.0,2019-05-20 17:51:15,pick item,0.2,39.99,['880011'],['Fire Stick'],['Majid Rafiei'],['990003'],
16.0,2019-05-20 18:15:00,pick item,0.44,476.0,['880007'],['iPad Air'],['Gyunam Park'],['990002'],
17.0,2019-05-20 18:36:37,confirm order,2.46,334.98,"['880014', '880013']","['Echo Studio', 'Echo Show 8']",['Junxiong Gao'],['990004'],
18.0,2019-05-20 19:04:49,place order,1.855,293.98,"['880021', '880022', '880020']","['Echo Dot', 'Kindle Paperwhite', 'Echo Show 8']",['Junxiong Gao'],['990007'],
19.0,2019-05-20 21:49:13,place order,3.755,1428.97,"['880026', '880027', '880024', '880023', '880028', '880025']","['iPad Air', 'Kindle Paperwhite', 'iPad mini', 'Echo Plus', 'Echo Show 8', 'Fire Stick 4K']",['Majid Rafiei'],['990008'],
20.0,2019-05-21 07:13:12,place order,3.013,1370.98,"['880032', '880033', '880031', '880034', '880030', '880029']","['Kindle Paperwhite', 'iPad mini', 'Kindle', 'Echo Show 8']",['Gyunam Park'],['990009'],
21.0,2019-05-21 08:23:42,pick item,0.483,79.99,['880030'],['Kindle'],['Gyunam Park'],['990009'],
22.0,2019-05-21 08:55:41,pick item,0.172,699.0,['880019'],['iPhone X'],['Christina Rensinghof'],['990006'],
23.0,2019-05-21 09:14:32,item out of stock,0.495,129.0,['880029'],['Kindle Paperwhite'],['Gyunam Park'],['990009'],
24.0,2019-05-21 09:43:01,pick item,0.166,799.0,['880010'],['iPhone 11'],['Majid Rafiei'],['990003'],
25.0,2019-05-21 09:58:19,place order,0.978,213.99,"['880035', '880036']","['Kindle', 'Kindle Paperwhite']",['Wil van der Aalst'],['990010'],
26.0,2019-05-21 10:03:49,reorder item,1.48,199.99,['880004'],['Echo Studio'],['Marco Pegoraro'],['990001'],
27.0,2019-05-21 10:34:23,confirm order,0.923,1580.0,"['880015', '880016']","['iPad Air', 'iPad Pro']",['Seran Uysal'],['990005'],
28.0,2019-05-21 10:41:07,pay order,0.994,2468.99,"['880009', '880010', '880011', '880012']","['iPhone 11', 'iPhone 11 Pro', 'iPad Air', 'Fire Stick']",['Majid Rafiei'],['990003'],
29.0,2019-05-21 10:49:44,pick item,0.495,129.0,['880022'],['Kindle Paperwhite'],['Junxiong Gao'],['990007'],
30.0,2019-05-21 12:15:15,pick item,0.98,129.99,['880017'],['Echo Show 8'],['Christina Rensinghof'],['990006'],
31.0,2019-05-21 12:16:25,place order,1.942,1472.98,"['880038', '880039', '880037', '880040']","['iPhone X', 'iPhone 8', 'Echo Plus', 'Fire Stick 4K']",['Gyunam Park'],['990011'],
32.0,2019-05-21 12:19:16,confirm order,2.656,3255.99,"['880008', '880005', '880006', '880007']","['Kindle', 'iPad Air', 'iPad', 'MacBook Air']",['Gyunam Park'],['990002'],
33.0,2019-05-21 12:35:03,pick item,0.483,495.0,['880005'],['iPad'],['Gyunam Park'],['990002'],
34.0,2019-05-21 12:39:01,pick item,1.48,199.99,['880013'],['Echo Studio'],['Junxiong Gao'],['990004'],
35.0,2019-05-21 12:47:10,pick item,0.483,79.99,['880036'],['Kindle'],['Wil van der Aalst'],['990010'],
36.0,2019-05-21 12:55:17,confirm order,1.942,1472.98,"['880038', '880039', '880037', '880040']","['iPhone X', 'iPhone 8', 'Echo Plus', 'Fire Stick 4K']",['Gyunam Park'],['990011'],
37.0,2019-05-21 12:57:36,item out of stock,0.495,129.0,['880035'],['Kindle Paperwhite'],['Wil van der Aalst'],['990010'],
38.0,2019-05-21 13:40:12,confirm order,3.013,1370.98,"['880032', '880033', '880031', '880034', '880030', '880029']","['Kindle Paperwhite', 'iPad mini', 'Kindle', 'Echo Show 8']",['Gyunam Park'],['990009'],
39.0,2019-05-21 13:42:40,pick item,0.495,129.0,['880024'],['Kindle Paperwhite'],['Majid Rafiei'],['990008'],
40.0,2019-05-21 13:52:38,place order,3.237,2761.99,"['880046', '880047', '880045', '880044', '880043', '880042', '880041']","['iPad Air', 'iPhone X', 'Kindle Paperwhite', 'Echo Show 8', 'iPad']",['Gyunam Park'],['990012'],
41.0,2019-05-21 14:14:14,pick item,0.28,449.0,['880031'],['iPad mini'],['Gyunam Park'],['990009'],
42.0,2019-05-21 14:33:48,confirm order,1.855,293.98,"['880021', '880022', '880020']","['Echo Dot', 'Kindle Paperwhite', 'Echo Show 8']",['Junxiong Gao'],['990007'],
43.0,2019-05-21 14:55:05,confirm order,1.432,923.98,"['880018', '880019', '880017']","['iPhone X', 'Echo Show 8', 'Fire Stick 4K']",['Christina Rensinghof'],['990006'],
44.0,2019-05-21 14:56:24,pick item,1.28,149.99,['880025'],['Echo Plus'],['Majid Rafiei'],['990008'],
45.0,2019-05-21 14:58:29,pick item,0.188,1149.0,['880012'],['iPhone 11 Pro'],['Majid Rafiei'],['990003'],
46.0,2019-05-21 15:02:54,pick item,0.98,129.99,['880026'],['Echo Show 8'],['Majid Rafiei'],['990008'],
47.0,2019-05-21 15:26:17,pick item,0.28,449.0,['880028'],['iPad mini'],['Majid Rafiei'],['990008'],
48.0,2019-05-21 15:32:29,pick item,0.28,449.0,['880032'],['iPad mini'],['Gyunam Park'],['990009'],
49.0,2019-05-21 15:51:03,item out of stock,0.28,89.99,['880027'],['Fire Stick 4K'],['Majid Rafiei'],['990008'],
50.0,2019-05-21 16:05:03,place order,3.194,3127.97,"['880049', '880053', '880048', '880050', '880051', '880052']","['iPhone 11 Pro', 'Echo Studio', 'iPad Pro', 'iPad', 'Fire Stick 4K']",['Gyunam Park'],['990013'],
51.0,2019-05-21 16:44:36,confirm order,3.237,2761.99,"['880046', '880047', '880045', '880044', '880043', '880042', '880041']","['iPad Air', 'iPhone X', 'Kindle Paperwhite', 'Echo Show 8', 'iPad']",['Gyunam Park'],['990012'],
52.0,2019-05-21 16:51:49,reorder item,0.28,89.99,['880027'],['Fire Stick 4K'],['Majid Rafiei'],['990008'],
53.0,2019-05-21 17:02:33,pick item,0.98,129.99,['880020'],['Echo Show 8'],['Junxiong Gao'],['990007'],
54.0,2019-05-21 17:15:32,pick item,0.483,1099.0,['880049'],['iPad Pro'],['Gyunam Park'],['990013'],
55.0,2019-05-21 17:29:53,place order,3.696,3239.97,"['880055', '880056', '880057', '880058', '880054']","['Echo Dot', 'iPad', 'Kindle', 'Echo Show 8', 'MacBook Pro']",['Christine Dobbert'],['990014'],
56.0,2019-05-21 19:19:13,item out of stock,0.495,129.0,['880046'],['Kindle Paperwhite'],['Gyunam Park'],['990012'],
57.0,2019-05-21 19:19:34,place order,4.095,5989.98,"['880062', '880060', '880064', '880061', '880059', '880063']","['iPhone X', 'iPad Air', 'Echo Dot', 'MacBook Air', 'Kindle', 'MacBook Pro']",['Luis Santos'],['990015'],
58.0,2019-05-21 20:34:29,pick item,0.172,699.0,['880059'],['iPhone X'],['Luis Santos'],['990015'],
59.0,2019-05-21 21:10:10,confirm order,0.978,213.99,"['880035', '880036']","['Kindle', 'Kindle Paperwhite']",['Wil van der Aalst'],['990010'],
60.0,2019-05-21 21:40:22,confirm order,3.194,3127.97,"['880049', '880053', '880048', '880050', '880051', '880052']","['iPhone 11 Pro', 'Echo Studio', 'iPad Pro', 'iPad', 'Fire Stick 4K']",['Gyunam Park'],['990013'],
61.0,2019-05-21 22:18:43,place order,1.081,2217.99,"['880065', '880066', '880068', '880067']","['iPhone 11 Pro', 'iPad', 'iPhone 8', 'Fire Stick']",['Christina Rensinghof'],['990016'],
62.0,2019-05-22 08:29:00,place order,1.919,1646.99,"['880072', '880070', '880069', '880073', '880071']","['iPhone 11', 'Kindle Paperwhite', 'iPad', 'Fire Stick 4K']",['Junxiong Gao'],['990017'],
63.0,2019-05-22 09:29:44,item out of stock,0.188,1149.0,['880050'],['iPhone 11 Pro'],['Gyunam Park'],['990013'],
64.0,2019-05-22 09:31:49,item out of stock,1.48,199.99,['880053'],['Echo Studio'],['Gyunam Park'],['990013'],
65.0,2019-05-22 09:37:12,pick item,0.28,89.99,['880048'],['Fire Stick 4K'],['Gyunam Park'],['990013'],
66.0,2019-05-22 09:49:11,pick item,0.495,129.0,['880033'],['Kindle Paperwhite'],['Gyunam Park'],['990009'],
67.0,2019-05-22 10:17:48,pick item,0.28,89.99,['880018'],['Fire Stick 4K'],['Christina Rensinghof'],['990006'],
68.0,2019-05-22 10:21:25,confirm order,1.919,1646.99,"['880072', '880070', '880069', '880073', '880071']","['iPhone 11', 'Kindle Paperwhite', 'iPad', 'Fire Stick 4K']",['Junxiong Gao'],['990017'],
69.0,2019-05-22 10:22:31,item out of stock,0.38,29.99,['880055'],['Echo Dot'],['Christine Dobbert'],['990014'],
70.0,2019-05-22 10:33:18,place order,1.97,823.98,"['880074', '880076', '880075']","['iPhone 8', 'Echo Studio', 'Fire Stick 4K']",['Christine Dobbert'],['990018'],
71.0,2019-05-22 10:34:00,confirm order,3.755,1428.97,"['880026', '880027', '880024', '880023', '880028', '880025']","['iPad Air', 'Kindle Paperwhite', 'iPad mini', 'Echo Plus', 'Echo Show 8', 'Fire Stick 4K']",['Majid Rafiei'],['990008'],
72.0,2019-05-22 10:52:34,pick item,0.483,495.0,['880058'],['iPad'],['Christine Dobbert'],['990014'],
73.0,2019-05-22 11:00:23,pick item,0.44,476.0,['880043'],['iPad Air'],['Gyunam Park'],['990012'],
74.0,2019-05-22 11:06:36,pick item,0.483,495.0,['880070'],['iPad'],['Junxiong Gao'],['990017'],
75.0,2019-05-22 11:13:31,pick item,0.98,129.99,['880054'],['Echo Show 8'],['Christine Dobbert'],['990014'],
76.0,2019-05-22 11:14:47,item out of stock,0.483,495.0,['880065'],['iPad'],['Christina Rensinghof'],['990016'],
77.0,2019-05-22 11:18:26,pick item,0.483,1099.0,['880015'],['iPad Pro'],['Seran Uysal'],['990005'],
78.0,2019-05-22 11:34:42,pick item,0.495,129.0,['880069'],['Kindle Paperwhite'],['Junxiong Gao'],['990017'],
79.0,2019-05-22 11:36:46,pick item,0.172,699.0,['880047'],['iPhone X'],['Gyunam Park'],['990012'],
80.0,2019-05-22 11:39:24,item out of stock,0.21,529.0,['880074'],['iPhone 8'],['Christine Dobbert'],['990018'],
81.0,2019-05-22 11:45:06,pick item,0.2,39.99,['880068'],['Fire Stick'],['Christina Rensinghof'],['990016'],
82.0,2019-05-22 11:47:12,pick item,0.98,129.99,['880041'],['Echo Show 8'],['Gyunam Park'],['990012'],
83.0,2019-05-22 12:26:23,place order,0.446,893.99,"['880078', '880077']","['iPhone 11', 'Fire Stick 4K']",['Majid Rafiei'],['990019'],
84.0,2019-05-22 12:40:14,confirm order,4.095,5989.98,"['880062', '880060', '880064', '880061', '880059', '880063']","['iPhone X', 'iPad Air', 'Echo Dot', 'MacBook Air', 'Kindle', 'MacBook Pro']",['Luis Santos'],['990015'],
85.0,2019-05-22 13:31:24,pay order,3.755,1428.97,"['880026', '880027', '880024', '880023', '880028', '880025']","['iPad Air', 'Kindle Paperwhite', 'iPad mini', 'Echo Plus', 'Echo Show 8', 'Fire Stick 4K']",['Majid Rafiei'],['990008'],
86.0,2019-05-22 13:53:26,pick item,0.28,89.99,['880076'],['Fire Stick 4K'],['Christine Dobbert'],['990018'],
87.0,2019-05-22 14:12:34,place order,3.48,4534.99,"['880081', '880080', '880079']","['Echo Show 8', 'MacBook Air']",['Kefang Ding'],['990020'],
88.0,2019-05-22 14:18:39,pick item,0.172,699.0,['880038'],['iPhone X'],['Gyunam Park'],['990011'],
89.0,2019-05-22 14:29:53,reorder item,0.38,29.99,['880055'],['Echo Dot'],['Christine Dobbert'],['990014'],
90.0,2019-05-22 14:44:07,confirm order,1.97,823.98,"['880074', '880076', '880075']","['iPhone 8', 'Echo Studio', 'Fire Stick 4K']",['Christine Dobbert'],['990018'],
91.0,2019-05-22 14:47:40,pay order,2.656,3255.99,"['880008', '880005', '880006', '880007']","['Kindle', 'iPad Air', 'iPad', 'MacBook Air']",['Gyunam Park'],['990002'],
92.0,2019-05-22 15:24:59,pick item,0.44,476.0,['880016'],['iPad Air'],['Seran Uysal'],['990005'],
93.0,2019-05-22 15:42:38,confirm order,0.446,893.99,"['880078', '880077']","['iPhone 11', 'Fire Stick 4K']",['Majid Rafiei'],['990019'],
94.0,2019-05-22 15:44:52,reorder item,0.483,495.0,['880065'],['iPad'],['Christina Rensinghof'],['990016'],
95.0,2019-05-22 15:44:55,place order,2.651,2535.99,"['880082', '880087', '880086', '880084', '880085', '880083']","['iPhone 11 Pro', 'Kindle Paperwhite', 'iPad', 'iPhone 8', 'Echo']",['Mohammadreza Fani Sani'],['990021'],
96.0,2019-05-22 16:07:56,pick item,0.28,89.99,['880051'],['Fire Stick 4K'],['Gyunam Park'],['990013'],
97.0,2019-05-22 16:14:21,pick item,0.495,129.0,['880071'],['Kindle Paperwhite'],['Junxiong Gao'],['990017'],
98.0,2019-05-22 16:52:23,reorder item,0.44,476.0,['880009'],['iPad Air'],['Majid Rafiei'],['990003'],
99.0,2019-05-22 16:54:39,pick item,1.25,2200.0,['880064'],['MacBook Air'],['Luis Santos'],['990015'],
100.0,2019-05-22 17:13:56,pick item,0.44,476.0,['880023'],['iPad Air'],['Majid Rafiei'],['990008'],
101.0,2019-05-22 17:19:25,pick item,0.21,529.0,['880067'],['iPhone 8'],['Christina Rensinghof'],['990016'],
102.0,2019-05-22 17:33:36,reorder item,0.495,129.0,['880035'],['Kindle Paperwhite'],['Wil van der Aalst'],['990010'],
103.0,2019-05-22 17:38:56,pick item,1.37,2500.0,['880057'],['MacBook Pro'],['Christine Dobbert'],['990014'],
104.0,2019-05-22 17:49:37,place order,3.102,3802.99,"['880090', '880089', '880091', '880088']","['iPhone X', 'iPad mini', 'Echo Plus', 'MacBook Pro']",['Tobias Brockhoff'],['990022'],
105.0,2019-05-22 20:08:26,place order,2.76,354.98,"['880092', '880093']","['Echo Studio', 'Echo Plus']",['Tobias Brockhoff'],['990023'],
106.0,2019-05-22 22:56:27,place order,2.432,983.98,"['880096', '880094', '880095']","['iPhone X', 'Echo Plus', 'Echo Show 8']",['Anahita Farhang Ghahfarokhi'],['990024'],
107.0,2019-05-23 08:42:25,pick item,0.166,799.0,['880077'],['iPhone 11'],['Majid Rafiei'],['990019'],
108.0,2019-05-23 08:44:21,pick item,0.166,799.0,['880072'],['iPhone 11'],['Junxiong Gao'],['990017'],
109.0,2019-05-23 09:09:23,confirm order,3.696,3239.97,"['880055', '880056', '880057', '880058', '880054']","['Echo Dot', 'iPad', 'Kindle', 'Echo Show 8', 'MacBook Pro']",['Christine Dobbert'],['990014'],
110.0,2019-05-23 09:26:37,item out of stock,0.188,1149.0,['880066'],['iPhone 11 Pro'],['Christina Rensinghof'],['990016'],
111.0,2019-05-23 09:44:29,place order,5.172999999999999,3773.96,"['880101', '880097', '880098', '880102', '880100', '880099']","['Echo Studio', 'iPad Pro', 'MacBook Air', 'Fire Stick', 'Echo Show 8', 'Echo']",['Marco Pegoraro'],['990025'],
112.0,2019-05-23 10:03:08,pick item,0.172,699.0,['880090'],['iPhone X'],['Tobias Brockhoff'],['990022'],
113.0,2019-05-23 10:19:26,item out of stock,0.495,129.0,['880045'],['Kindle Paperwhite'],['Gyunam Park'],['990012'],
114.0,2019-05-23 10:27:00,reorder item,0.495,129.0,['880046'],['Kindle Paperwhite'],['Gyunam Park'],['990012'],
115.0,2019-05-23 10:29:24,item out of stock,1.28,149.99,['880093'],['Echo Plus'],['Tobias Brockhoff'],['990023'],
116.0,2019-05-23 10:40:50,item out of stock,0.98,129.99,['880001'],['Echo Show 8'],['Marco Pegoraro'],['990001'],
117.0,2019-05-23 10:45:43,pick item,0.21,529.0,['880040'],['iPhone 8'],['Gyunam Park'],['990011'],
118.0,2019-05-23 10:52:26,pick item,0.483,1099.0,['880098'],['iPad Pro'],['Marco Pegoraro'],['990025'],
119.0,2019-05-23 10:53:08,pick item,0.483,79.99,['880063'],['Kindle'],['Luis Santos'],['990015'],
120.0,2019-05-23 11:00:25,pick item,0.78,99.99,['880003'],['Echo'],['Marco Pegoraro'],['990001'],
121.0,2019-05-23 11:00:25,create package,7.211,8169.95,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']","['iPad Air', 'iPhone X', 'iPad', 'iPhone 8', 'Kindle', 'Echo Show 8', 'Fire Stick 4K', 'MacBook Air', 'Kindle Paperwhite', 'iPad mini', 'iPad Pro']",['Gyunam Park'],"['990011', '990002', '990013', '990012', '990009']",['660001']
122.0,2019-05-23 11:07:19,item out of stock,0.28,449.0,['880091'],['iPad mini'],['Tobias Brockhoff'],['990022'],
123.0,2019-05-23 11:08:24,item out of stock,0.44,476.0,['880062'],['iPad Air'],['Luis Santos'],['990015'],
124.0,2019-05-23 11:23:05,confirm order,3.102,3802.99,"['880090', '880089', '880091', '880088']","['iPhone X', 'iPad mini', 'Echo Plus', 'MacBook Pro']",['Tobias Brockhoff'],['990022'],
125.0,2019-05-23 11:27:55,pay order,3.52,524.96,"['880001', '880004', '880003', '880002']","['Echo Studio', 'Echo Show 8', 'Fire Stick 4K', 'Echo']",['Marco Pegoraro'],['990001'],
126.0,2019-05-23 11:48:45,place order,2.583,2729.98,"['880106', '880107', '880105', '880103', '880104', '880108', '880109']","['iPhone 11', 'Kindle Paperwhite', 'iPhone 8', 'Echo Dot', 'Echo Show 5', 'iPad mini', 'iPhone X']",['Junxiong Gao'],['990026'],
127.0,2019-05-23 11:55:58,pick item,0.88,89.99,['880106'],['Echo Show 5'],['Junxiong Gao'],['990026'],
128.0,2019-05-23 11:57:31,pick item,0.98,129.99,['880094'],['Echo Show 8'],['Anahita Farhang Ghahfarokhi'],['990024'],
129.0,2019-05-23 11:58:56,confirm order,1.081,2217.99,"['880065', '880066', '880068', '880067']","['iPhone 11 Pro', 'iPad', 'iPhone 8', 'Fire Stick']",['Christina Rensinghof'],['990016'],
130.0,2019-05-23 12:09:19,reorder item,0.188,1149.0,['880050'],['iPhone 11 Pro'],['Gyunam Park'],['990013'],
131.0,2019-05-23 12:13:24,reorder item,0.28,449.0,['880091'],['iPad mini'],['Tobias Brockhoff'],['990022'],
132.0,2019-05-23 12:15:16,pick item,1.48,199.99,['880099'],['Echo Studio'],['Marco Pegoraro'],['990025'],
133.0,2019-05-23 12:33:06,reorder item,0.44,476.0,['880062'],['iPad Air'],['Luis Santos'],['990015'],
134.0,2019-05-23 12:53:00,pick item,0.483,79.99,['880056'],['Kindle'],['Christine Dobbert'],['990014'],
135.0,2019-05-23 12:55:00,confirm order,2.432,983.98,"['880096', '880094', '880095']","['iPhone X', 'Echo Plus', 'Echo Show 8']",['Anahita Farhang Ghahfarokhi'],['990024'],
136.0,2019-05-23 13:04:43,confirm order,3.48,4534.99,"['880081', '880080', '880079']","['Echo Show 8', 'MacBook Air']",['Kefang Ding'],['990020'],
137.0,2019-05-23 13:32:53,pick item,0.98,129.99,['880080'],['Echo Show 8'],['Kefang Ding'],['990020'],
138.0,2019-05-23 13:39:57,pick item,0.28,89.99,['880039'],['Fire Stick 4K'],['Gyunam Park'],['990011'],
139.0,2019-05-23 13:57:18,place order,1.263,184.98,"['880110', '880111']","['Echo', 'Kindle']",['Christine Dobbert'],['990027'],
140.0,2019-05-23 14:22:59,send package,7.211,8169.95,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']","['iPad Air', 'iPhone X', 'iPad', 'iPhone 8', 'Kindle', 'Echo Show 8', 'Fire Stick 4K', 'MacBook Air', 'Kindle Paperwhite', 'iPad mini', 'iPad Pro']",['Gyunam Park'],"['990011', '990002', '990013', '990012', '990009']",['660001']
141.0,2019-05-23 14:24:31,pay order,1.942,1472.98,"['880038', '880039', '880037', '880040']","['iPhone X', 'iPhone 8', 'Echo Plus', 'Fire Stick 4K']",['Gyunam Park'],['990011'],
142.0,2019-05-23 14:48:41,failed delivery,7.211,8169.95,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']","['iPad Air', 'iPhone X', 'iPad', 'iPhone 8', 'Kindle', 'Echo Show 8', 'Fire Stick 4K', 'MacBook Air', 'Kindle Paperwhite', 'iPad mini', 'iPad Pro']",['Gyunam Park'],"['990011', '990002', '990013', '990012', '990009']",['660001']
143.0,2019-05-23 14:49:52,pick item,0.495,129.0,['880103'],['Kindle Paperwhite'],['Junxiong Gao'],['990026'],
144.0,2019-05-23 14:58:15,pick item,0.483,79.99,['880110'],['Kindle'],['Christine Dobbert'],['990027'],
145.0,2019-05-23 15:00:45,pick item,1.25,2200.0,['880101'],['MacBook Air'],['Marco Pegoraro'],['990025'],
146.0,2019-05-23 15:19:51,pay order,1.97,823.98,"['880074', '880076', '880075']","['iPhone 8', 'Echo Studio', 'Fire Stick 4K']",['Christine Dobbert'],['990018'],
147.0,2019-05-23 15:28:01,reorder item,0.21,529.0,['880074'],['iPhone 8'],['Christine Dobbert'],['990018'],
148.0,2019-05-23 15:34:32,pick item,0.483,495.0,['880065'],['iPad'],['Christina Rensinghof'],['990016'],
149.0,2019-05-23 15:38:19,item out of stock,1.28,149.99,['880096'],['Echo Plus'],['Anahita Farhang Ghahfarokhi'],['990024'],
150.0,2019-05-23 16:07:14,pick item,0.98,129.99,['880034'],['Echo Show 8'],['Gyunam Park'],['990009'],
151.0,2019-05-23 16:07:36,item out of stock,1.25,2200.0,['880079'],['MacBook Air'],['Kefang Ding'],['990020'],
152.0,2019-05-23 16:14:23,place order,0.973,1062.99,"['880114', '880112', '880113']","['iPhone 8', 'iPad mini', 'Kindle']",['Majid Rafiei'],['990028'],
153.0,2019-05-23 16:16:20,pick item,0.28,89.99,['880078'],['Fire Stick 4K'],['Majid Rafiei'],['990019'],
154.0,2019-05-23 16:27:55,confirm order,1.263,184.98,"['880110', '880111']","['Echo', 'Kindle']",['Christine Dobbert'],['990027'],
155.0,2019-05-23 16:36:27,pick item,0.172,699.0,['880109'],['iPhone X'],['Junxiong Gao'],['990026'],
156.0,2019-05-23 16:46:01,pick item,1.48,199.99,['880075'],['Echo Studio'],['Christine Dobbert'],['990018'],
157.0,2019-05-23 16:56:29,reorder item,1.28,149.99,['880096'],['Echo Plus'],['Anahita Farhang Ghahfarokhi'],['990024'],
158.0,2019-05-23 17:01:33,pick item,0.188,1149.0,['880087'],['iPhone 11 Pro'],['Mohammadreza Fani Sani'],['990021'],
159.0,2019-05-23 17:26:26,pick item,0.483,495.0,['880042'],['iPad'],['Gyunam Park'],['990012'],
160.0,2019-05-23 17:26:26,create package,4.273,3688.97,"['880101', '880098', '880003', '880002', '880099']","['Echo Studio', 'iPad Pro', 'MacBook Air', 'Fire Stick 4K', 'Echo']",['Marco Pegoraro'],"['990025', '990001']",['660002']
161.0,2019-05-23 17:43:12,send package,4.273,3688.97,"['880101', '880098', '880003', '880002', '880099']","['Echo Studio', 'iPad Pro', 'MacBook Air', 'Fire Stick 4K', 'Echo']",['Marco Pegoraro'],"['990025', '990001']",['660002']
162.0,2019-05-23 17:48:34,place order,0.634,2042.99,"['880115', '880116', '880117']","['iPhone 11', 'iPhone 11 Pro', 'Fire Stick 4K']",['Mahnaz Qafari'],['990029'],
163.0,2019-05-23 18:54:48,reorder item,0.495,129.0,['880029'],['Kindle Paperwhite'],['Gyunam Park'],['990009'],
164.0,2019-05-23 19:14:00,package delivered,7.211,8169.95,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']","['iPad Air', 'iPhone X', 'iPad', 'iPhone 8', 'Kindle', 'Echo Show 8', 'Fire Stick 4K', 'MacBook Air', 'Kindle Paperwhite', 'iPad mini', 'iPad Pro']",['Gyunam Park'],"['990011', '990002', '990013', '990012', '990009']",['660001']
165.0,2019-05-23 19:15:44,pick item,0.78,99.99,['880100'],['Echo'],['Marco Pegoraro'],['990025'],
166.0,2019-05-23 20:05:16,place order,3.86,940.96,"['880121', '880118', '880119', '880122', '880120']","['Echo Show 5', 'iPad Air', 'Echo Plus', 'Fire Stick 4K', 'Echo Show 8']",['Wil van der Aalst'],['990030'],
167.0,2019-05-23 22:00:00,confirm order,2.651,2535.99,"['880082', '880087', '880086', '880084', '880085', '880083']","['iPhone 11 Pro', 'Kindle Paperwhite', 'iPad', 'iPhone 8', 'Echo']",['Mohammadreza Fani Sani'],['990021'],
168.0,2019-05-23 22:50:07,place order,0.38,34.99,['880123'],['Echo Dot'],['Tobias Brockhoff'],['990031'],
169.0,2019-05-24 08:27:33,confirm order,0.973,1062.99,"['880114', '880112', '880113']","['iPhone 8', 'iPad mini', 'Kindle']",['Majid Rafiei'],['990028'],
170.0,2019-05-24 09:21:25,reorder item,1.25,2200.0,['880079'],['MacBook Air'],['Kefang Ding'],['990020'],
171.0,2019-05-24 09:31:49,place order,2.329,1768.98,"['880124', '880125', '880127', '880126']","['Echo Show 5', 'Kindle', 'iPad Pro', 'iPad']",['Kefang Ding'],['990032'],
172.0,2019-05-24 09:32:57,pick item,0.44,476.0,['880120'],['iPad Air'],['Wil van der Aalst'],['990030'],
